arm,weight,scale,baseline_score,perturbed_score,delta,delta_pct
fixed_gravity,W_DISTANCE,0.5,587.07,525.28,-61.79,-10.5
fixed_gravity,W_DISTANCE,0.75,587.07,556.17,-30.9,-5.3
fixed_gravity,W_DISTANCE,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_DISTANCE,1.25,587.07,617.97,30.9,5.3
fixed_gravity,W_DISTANCE,1.5,587.07,648.87,61.79,10.5
fixed_gravity,W_NET_PROGRESS,0.5,587.07,481.45,-105.62,-18.0
fixed_gravity,W_NET_PROGRESS,0.75,587.07,534.26,-52.81,-9.0
fixed_gravity,W_NET_PROGRESS,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_NET_PROGRESS,1.25,587.07,639.88,52.81,9.0
fixed_gravity,W_NET_PROGRESS,1.5,587.07,692.69,105.62,18.0
fixed_gravity,W_SPEED_TRACK,0.5,587.07,547.98,-39.09,-6.7
fixed_gravity,W_SPEED_TRACK,0.75,587.07,567.52,-19.55,-3.3
fixed_gravity,W_SPEED_TRACK,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_SPEED_TRACK,1.25,587.07,606.62,19.55,3.3
fixed_gravity,W_SPEED_TRACK,1.5,587.07,626.16,39.09,6.7
fixed_gravity,W_UPRIGHT,0.5,587.07,498.14,-88.93,-15.1
fixed_gravity,W_UPRIGHT,0.75,587.07,542.6,-44.47,-7.6
fixed_gravity,W_UPRIGHT,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_UPRIGHT,1.25,587.07,631.54,44.47,7.6
fixed_gravity,W_UPRIGHT,1.5,587.07,676.0,88.93,15.1
fixed_gravity,W_BACKWARD,0.5,587.07,587.16,0.09,0.0
fixed_gravity,W_BACKWARD,0.75,587.07,587.11,0.04,0.0
fixed_gravity,W_BACKWARD,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_BACKWARD,1.25,587.07,587.03,-0.04,-0.0
fixed_gravity,W_BACKWARD,1.5,587.07,586.98,-0.09,-0.0
fixed_gravity,W_Z_VELOCITY,0.5,587.07,587.24,0.17,0.0
fixed_gravity,W_Z_VELOCITY,0.75,587.07,587.16,0.08,0.0
fixed_gravity,W_Z_VELOCITY,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_Z_VELOCITY,1.25,587.07,586.99,-0.08,-0.0
fixed_gravity,W_Z_VELOCITY,1.5,587.07,586.9,-0.17,-0.0
fixed_gravity,W_PITCH_RATE,0.5,587.07,587.32,0.25,0.0
fixed_gravity,W_PITCH_RATE,0.75,587.07,587.2,0.12,0.0
fixed_gravity,W_PITCH_RATE,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_PITCH_RATE,1.25,587.07,586.95,-0.12,-0.0
fixed_gravity,W_PITCH_RATE,1.5,587.07,586.82,-0.25,-0.0
fixed_gravity,W_VEL_CHANGE,0.5,587.07,587.13,0.06,0.0
fixed_gravity,W_VEL_CHANGE,0.75,587.07,587.1,0.03,0.0
fixed_gravity,W_VEL_CHANGE,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_VEL_CHANGE,1.25,587.07,587.04,-0.03,-0.0
fixed_gravity,W_VEL_CHANGE,1.5,587.07,587.01,-0.06,-0.0
fixed_gravity,W_JOINT_PENALTY,0.5,587.07,587.07,0.0,0.0
fixed_gravity,W_JOINT_PENALTY,0.75,587.07,587.07,0.0,0.0
fixed_gravity,W_JOINT_PENALTY,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_JOINT_PENALTY,1.25,587.07,587.07,-0.0,-0.0
fixed_gravity,W_JOINT_PENALTY,1.5,587.07,587.07,-0.0,-0.0
fixed_gravity,W_IMPACT_PENALTY,0.5,587.07,587.08,0.01,0.0
fixed_gravity,W_IMPACT_PENALTY,0.75,587.07,587.07,0.0,0.0
fixed_gravity,W_IMPACT_PENALTY,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_IMPACT_PENALTY,1.25,587.07,587.07,-0.0,-0.0
fixed_gravity,W_IMPACT_PENALTY,1.5,587.07,587.06,-0.01,-0.0
fixed_gravity,FALL_PENALTY,0.5,587.07,591.07,4.0,0.7
fixed_gravity,FALL_PENALTY,0.75,587.07,589.07,2.0,0.3
fixed_gravity,FALL_PENALTY,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,FALL_PENALTY,1.25,587.07,585.07,-2.0,-0.3
fixed_gravity,FALL_PENALTY,1.5,587.07,583.07,-4.0,-0.7
fixed_gravity,W_LOW_PROGRESS,0.5,587.07,589.07,2.0,0.3
fixed_gravity,W_LOW_PROGRESS,0.75,587.07,588.07,1.0,0.2
fixed_gravity,W_LOW_PROGRESS,1.0,587.07,587.07,-0.0,-0.0
fixed_gravity,W_LOW_PROGRESS,1.25,587.07,586.07,-1.0,-0.2
fixed_gravity,W_LOW_PROGRESS,1.5,587.07,585.07,-2.0,-0.3
random_variable_gravity,W_DISTANCE,0.5,1345.43,1137.68,-207.75,-15.4
random_variable_gravity,W_DISTANCE,0.75,1345.43,1241.55,-103.87,-7.7
random_variable_gravity,W_DISTANCE,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_DISTANCE,1.25,1345.43,1449.3,103.87,7.7
random_variable_gravity,W_DISTANCE,1.5,1345.43,1553.17,207.75,15.4
random_variable_gravity,W_NET_PROGRESS,0.5,1345.43,986.67,-358.76,-26.7
random_variable_gravity,W_NET_PROGRESS,0.75,1345.43,1166.05,-179.38,-13.3
random_variable_gravity,W_NET_PROGRESS,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_NET_PROGRESS,1.25,1345.43,1524.81,179.38,13.3
random_variable_gravity,W_NET_PROGRESS,1.5,1345.43,1704.18,358.76,26.7
random_variable_gravity,W_SPEED_TRACK,0.5,1345.43,1284.01,-61.42,-4.6
random_variable_gravity,W_SPEED_TRACK,0.75,1345.43,1314.72,-30.71,-2.3
random_variable_gravity,W_SPEED_TRACK,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_SPEED_TRACK,1.25,1345.43,1376.14,30.71,2.3
random_variable_gravity,W_SPEED_TRACK,1.5,1345.43,1406.85,61.42,4.6
random_variable_gravity,W_UPRIGHT,0.5,1345.43,1283.4,-62.03,-4.6
random_variable_gravity,W_UPRIGHT,0.75,1345.43,1314.41,-31.01,-2.3
random_variable_gravity,W_UPRIGHT,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_UPRIGHT,1.25,1345.43,1376.44,31.01,2.3
random_variable_gravity,W_UPRIGHT,1.5,1345.43,1407.45,62.03,4.6
random_variable_gravity,W_BACKWARD,0.5,1345.43,1345.44,0.01,0.0
random_variable_gravity,W_BACKWARD,0.75,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_BACKWARD,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_BACKWARD,1.25,1345.43,1345.42,-0.0,-0.0
random_variable_gravity,W_BACKWARD,1.5,1345.43,1345.42,-0.01,-0.0
random_variable_gravity,W_Z_VELOCITY,0.5,1345.43,1346.08,0.65,0.0
random_variable_gravity,W_Z_VELOCITY,0.75,1345.43,1345.75,0.33,0.0
random_variable_gravity,W_Z_VELOCITY,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_Z_VELOCITY,1.25,1345.43,1345.1,-0.33,-0.0
random_variable_gravity,W_Z_VELOCITY,1.5,1345.43,1344.77,-0.65,-0.0
random_variable_gravity,W_PITCH_RATE,0.5,1345.43,1346.28,0.86,0.1
random_variable_gravity,W_PITCH_RATE,0.75,1345.43,1345.85,0.43,0.0
random_variable_gravity,W_PITCH_RATE,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_PITCH_RATE,1.25,1345.43,1345.0,-0.43,-0.0
random_variable_gravity,W_PITCH_RATE,1.5,1345.43,1344.57,-0.86,-0.1
random_variable_gravity,W_VEL_CHANGE,0.5,1345.43,1345.71,0.29,0.0
random_variable_gravity,W_VEL_CHANGE,0.75,1345.43,1345.57,0.14,0.0
random_variable_gravity,W_VEL_CHANGE,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_VEL_CHANGE,1.25,1345.43,1345.28,-0.14,-0.0
random_variable_gravity,W_VEL_CHANGE,1.5,1345.43,1345.14,-0.29,-0.0
random_variable_gravity,W_JOINT_PENALTY,0.5,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_JOINT_PENALTY,0.75,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_JOINT_PENALTY,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_JOINT_PENALTY,1.25,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_JOINT_PENALTY,1.5,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_IMPACT_PENALTY,0.5,1345.43,1345.48,0.06,0.0
random_variable_gravity,W_IMPACT_PENALTY,0.75,1345.43,1345.46,0.03,0.0
random_variable_gravity,W_IMPACT_PENALTY,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_IMPACT_PENALTY,1.25,1345.43,1345.4,-0.03,-0.0
random_variable_gravity,W_IMPACT_PENALTY,1.5,1345.43,1345.37,-0.06,-0.0
random_variable_gravity,FALL_PENALTY,0.5,1345.43,1364.24,18.81,1.4
random_variable_gravity,FALL_PENALTY,0.75,1345.43,1354.83,9.41,0.7
random_variable_gravity,FALL_PENALTY,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,FALL_PENALTY,1.25,1345.43,1336.02,-9.4,-0.7
random_variable_gravity,FALL_PENALTY,1.5,1345.43,1326.62,-18.81,-1.4
random_variable_gravity,W_LOW_PROGRESS,0.5,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_LOW_PROGRESS,0.75,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_LOW_PROGRESS,1.0,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_LOW_PROGRESS,1.25,1345.43,1345.43,0.0,0.0
random_variable_gravity,W_LOW_PROGRESS,1.5,1345.43,1345.43,0.0,0.0
gradual_transition,W_DISTANCE,0.5,1801.99,1530.55,-271.44,-15.1
gradual_transition,W_DISTANCE,0.75,1801.99,1666.27,-135.72,-7.5
gradual_transition,W_DISTANCE,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_DISTANCE,1.25,1801.99,1937.71,135.72,7.5
gradual_transition,W_DISTANCE,1.5,1801.99,2073.44,271.44,15.1
gradual_transition,W_NET_PROGRESS,0.5,1801.99,1333.38,-468.61,-26.0
gradual_transition,W_NET_PROGRESS,0.75,1801.99,1567.69,-234.31,-13.0
gradual_transition,W_NET_PROGRESS,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_NET_PROGRESS,1.25,1801.99,2036.3,234.31,13.0
gradual_transition,W_NET_PROGRESS,1.5,1801.99,2270.61,468.61,26.0
gradual_transition,W_SPEED_TRACK,0.5,1801.99,1706.73,-95.26,-5.3
gradual_transition,W_SPEED_TRACK,0.75,1801.99,1754.36,-47.63,-2.6
gradual_transition,W_SPEED_TRACK,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_SPEED_TRACK,1.25,1801.99,1849.62,47.63,2.6
gradual_transition,W_SPEED_TRACK,1.5,1801.99,1897.25,95.26,5.3
gradual_transition,W_UPRIGHT,0.5,1801.99,1727.93,-74.06,-4.1
gradual_transition,W_UPRIGHT,0.75,1801.99,1764.96,-37.03,-2.1
gradual_transition,W_UPRIGHT,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_UPRIGHT,1.25,1801.99,1839.02,37.03,2.1
gradual_transition,W_UPRIGHT,1.5,1801.99,1876.06,74.06,4.1
gradual_transition,W_BACKWARD,0.5,1801.99,1802.02,0.02,0.0
gradual_transition,W_BACKWARD,0.75,1801.99,1802.01,0.01,0.0
gradual_transition,W_BACKWARD,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_BACKWARD,1.25,1801.99,1801.98,-0.01,-0.0
gradual_transition,W_BACKWARD,1.5,1801.99,1801.97,-0.02,-0.0
gradual_transition,W_Z_VELOCITY,0.5,1801.99,1802.95,0.95,0.1
gradual_transition,W_Z_VELOCITY,0.75,1801.99,1802.47,0.48,0.0
gradual_transition,W_Z_VELOCITY,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_Z_VELOCITY,1.25,1801.99,1801.52,-0.48,-0.0
gradual_transition,W_Z_VELOCITY,1.5,1801.99,1801.04,-0.95,-0.1
gradual_transition,W_PITCH_RATE,0.5,1801.99,1802.88,0.88,0.0
gradual_transition,W_PITCH_RATE,0.75,1801.99,1802.43,0.44,0.0
gradual_transition,W_PITCH_RATE,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_PITCH_RATE,1.25,1801.99,1801.55,-0.44,-0.0
gradual_transition,W_PITCH_RATE,1.5,1801.99,1801.11,-0.88,-0.0
gradual_transition,W_VEL_CHANGE,0.5,1801.99,1802.73,0.74,0.0
gradual_transition,W_VEL_CHANGE,0.75,1801.99,1802.36,0.37,0.0
gradual_transition,W_VEL_CHANGE,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_VEL_CHANGE,1.25,1801.99,1801.62,-0.37,-0.0
gradual_transition,W_VEL_CHANGE,1.5,1801.99,1801.25,-0.74,-0.0
gradual_transition,W_JOINT_PENALTY,0.5,1801.99,1801.99,0.0,0.0
gradual_transition,W_JOINT_PENALTY,0.75,1801.99,1801.99,0.0,0.0
gradual_transition,W_JOINT_PENALTY,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_JOINT_PENALTY,1.25,1801.99,1801.99,-0.0,-0.0
gradual_transition,W_JOINT_PENALTY,1.5,1801.99,1801.99,-0.0,-0.0
gradual_transition,W_IMPACT_PENALTY,0.5,1801.99,1802.04,0.04,0.0
gradual_transition,W_IMPACT_PENALTY,0.75,1801.99,1802.01,0.02,0.0
gradual_transition,W_IMPACT_PENALTY,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_IMPACT_PENALTY,1.25,1801.99,1801.97,-0.02,-0.0
gradual_transition,W_IMPACT_PENALTY,1.5,1801.99,1801.95,-0.04,-0.0
gradual_transition,FALL_PENALTY,0.5,1801.99,1811.91,9.91,0.6
gradual_transition,FALL_PENALTY,0.75,1801.99,1806.95,4.96,0.3
gradual_transition,FALL_PENALTY,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,FALL_PENALTY,1.25,1801.99,1797.04,-4.96,-0.3
gradual_transition,FALL_PENALTY,1.5,1801.99,1792.08,-9.91,-0.6
gradual_transition,W_LOW_PROGRESS,0.5,1801.99,1801.99,0.0,0.0
gradual_transition,W_LOW_PROGRESS,0.75,1801.99,1801.99,0.0,0.0
gradual_transition,W_LOW_PROGRESS,1.0,1801.99,1801.99,0.0,0.0
gradual_transition,W_LOW_PROGRESS,1.25,1801.99,1801.99,0.0,0.0
gradual_transition,W_LOW_PROGRESS,1.5,1801.99,1801.99,0.0,0.0
staged_evolution,W_DISTANCE,0.5,1179.97,993.42,-186.55,-15.8
staged_evolution,W_DISTANCE,0.75,1179.97,1086.69,-93.27,-7.9
staged_evolution,W_DISTANCE,1.0,1179.97,1179.97,0.0,0.0
staged_evolution,W_DISTANCE,1.25,1179.97,1273.24,93.27,7.9
staged_evolution,W_DISTANCE,1.5,1179.97,1366.52,186.55,15.8
staged_evolution,W_NET_PROGRESS,0.5,1179.97,858.14,-321.83,-27.3
staged_evolution,W_NET_PROGRESS,0.75,1179.97,1019.05,-160.91,-13.6
staged_evolution,W_NET_PROGRESS,1.0,1179.97,1179.97,0.0,0.0
staged_evolution,W_NET_PROGRESS,1.25,1179.97,1340.88,160.91,13.6
staged_evolution,W_NET_PROGRESS,1.5,1179.97,1501.8,321.83,27.3
staged_evolution,W_SPEED_TRACK,0.5,1179.97,1130.82,-49.15,-4.2
staged_evolution,W_SPEED_TRACK,0.75,1179.97,1155.39,-24.57,-2.1
staged_evolution,W_SPEED_TRACK,1.0,1179.97,1179.97,0.0,0.0
staged_evolution,W_SPEED_TRACK,1.25,1179.97,1204.54,24.57,2.1
staged_evolution,W_SPEED_TRACK,1.5,1179.97,1229.11,49.15,4.2
staged_evolution,W_UPRIGHT,0.5,1179.97,1125.01,-54.96,-4.7
staged_evolution,W_UPRIGHT,0.75,1179.97,1152.49,-27.48,-2.3
staged_evolution,W_UPRIGHT,1.0,1179.97,1179.97,0.0,0.0
staged_evolution,W_UPRIGHT,1.25,1179.97,1207.44,27.48,2.3
staged_evolution,W_UPRIGHT,1.5,1179.97,1234.92,54.96,4.7
staged_evolution,W_BACKWARD,0.5,1179.97,1180.02,0.06,0.0
staged_evolution,W_BACKWARD,0.75,1179.97,1179.99,0.03,0.0
staged_evolution,W_BACKWARD,1.0,1179.97,1179.97,0.0,0.0
staged_evolution,W_BACKWARD,1.25,1179.97,1179.94,-0.03,-0.0
staged_evolution,W_BACKWARD,1.5,1179.97,1179.91,-0.06,-0.0
staged_evolution,W_Z_VELOCITY,0.5,1179.97,1181.01,1.05,0.1
staged_evolution,W_Z_VELOCITY,0.75,1179.97,1180.49,0.52,0.0
staged_evolution,W_Z_VELOCITY,1.0,1179.97,1179.97,0.0,0.0
