arm,seed,seed_dir,summary_exists,tte_generation,final_net_progress_m,robustness_mean_net_progress_m,best_earth_probe_score,mean_earth_probe_score
fixed_gravity,0,experiments/thesis/fixed_gravity/seed_00,True,280.0,9.983343114435375,7.042133877735351,2003.1916304796928,899.0640797289846
fixed_gravity,1,experiments/thesis/fixed_gravity/seed_01,True,390.0,6.0571389406553156,4.884208192636164,1455.7370250820181,681.7758596957835
fixed_gravity,2,experiments/thesis/fixed_gravity/seed_02,True,210.0,8.497184965771883,6.043006246708529,1372.4838852799191,791.7448651299358
fixed_gravity,3,experiments/thesis/fixed_gravity/seed_03,True,510.0,2.3388685280422616,1.3327080380199565,820.7318186633871,351.4457960780447
fixed_gravity,4,experiments/thesis/fixed_gravity/seed_04,True,510.0,1.6939400691878252,1.2651221122958944,479.6278725222719,241.36781866040644
fixed_gravity,5,experiments/thesis/fixed_gravity/seed_05,True,510.0,2.9570059915816063,2.2766326760564537,802.3213337780459,386.13846163310734
fixed_gravity,6,experiments/thesis/fixed_gravity/seed_06,True,310.0,6.027202960268087,4.974361584390472,1188.0865326936846,554.2415172125211
fixed_gravity,7,experiments/thesis/fixed_gravity/seed_07,True,430.0,5.683573335429255,4.247228854688354,1396.8730411208362,480.36403834673314
fixed_gravity,8,experiments/thesis/fixed_gravity/seed_08,True,270.0,4.445372540625554,2.975927729966976,1233.0571867119847,606.2058804530042
fixed_gravity,9,experiments/thesis/fixed_gravity/seed_09,True,330.0,4.866877968278701,3.2421939404401456,1152.7565060578447,537.5114785170817
fixed_gravity,99,experiments/thesis/fixed_gravity/seed_99,True,20.0,-0.5028659671042991,-0.4624941335898057,-443.9398411333928,-458.0039114023888
random_variable_gravity,0,experiments/thesis/random_variable_gravity/seed_00,True,510.0,2.4437093393885525,3.5238056128395514,1146.9439451026597,484.5554065223712
random_variable_gravity,1,experiments/thesis/random_variable_gravity/seed_01,True,440.0,6.545722874846142,5.6244197152044135,1188.840586724223,505.52312998889806
random_variable_gravity,2,experiments/thesis/random_variable_gravity/seed_02,True,510.0,3.623713539539144,5.105034636490937,1673.112934510896,483.5348075129034
random_variable_gravity,3,experiments/thesis/random_variable_gravity/seed_03,True,340.0,4.578287235985398,4.481970616125575,1331.5334618276297,456.636713855143
random_variable_gravity,4,experiments/thesis/random_variable_gravity/seed_04,True,510.0,1.994167696749109,3.5440186718201674,1152.6151456824741,466.4680966032493
random_variable_gravity,5,experiments/thesis/random_variable_gravity/seed_05,True,510.0,2.7343341742644447,2.59772311234063,483.61280696833063,232.21847504431207
random_variable_gravity,6,experiments/thesis/random_variable_gravity/seed_06,True,440.0,3.5713979276883534,5.559491255022024,1618.6556720815404,606.952604612385
random_variable_gravity,7,experiments/thesis/random_variable_gravity/seed_07,True,510.0,-0.5511636131469293,-0.028894454901147282,288.4375314343483,176.43676030434457
random_variable_gravity,8,experiments/thesis/random_variable_gravity/seed_08,True,470.0,2.4534591685106024,3.4323786254176967,1200.5192774391105,403.85669817328
random_variable_gravity,9,experiments/thesis/random_variable_gravity/seed_09,True,230.0,4.5738245074623665,5.730298312206314,1690.1722791224863,743.8600406089718
random_variable_gravity,99,experiments/thesis/random_variable_gravity/seed_99,True,20.0,-0.10885012432104915,-0.09687774324644575,-348.0548763998433,-410.0614290356141
curriculum_variable_gravity,0,experiments/thesis/curriculum_variable_gravity/seed_00,True,510.0,1.9019171134887642,1.6608817625667505,464.44226520552894,71.16303366124238
curriculum_variable_gravity,1,experiments/thesis/curriculum_variable_gravity/seed_01,True,510.0,2.4203446179743318,1.9993873883498836,458.44723818942055,50.623514863635194
curriculum_variable_gravity,2,experiments/thesis/curriculum_variable_gravity/seed_02,True,510.0,1.6988163225969495,2.3335308034675846,1255.2828954238626,234.47179661838757
curriculum_variable_gravity,3,experiments/thesis/curriculum_variable_gravity/seed_03,True,410.0,2.497533631952691,5.907390241416234,2153.4174188993807,347.01899178405057
curriculum_variable_gravity,4,experiments/thesis/curriculum_variable_gravity/seed_04,True,430.0,1.895781517239115,2.4044941115354703,1215.0524099922345,430.48975327842834
curriculum_variable_gravity,5,experiments/thesis/curriculum_variable_gravity/seed_05,True,510.0,1.510110137818734,1.6299668044039695,885.2758560731361,144.10812206737594
curriculum_variable_gravity,6,experiments/thesis/curriculum_variable_gravity/seed_06,True,490.0,6.61182913858417,5.361215719497302,1591.9429570326024,219.63433077995
curriculum_variable_gravity,7,experiments/thesis/curriculum_variable_gravity/seed_07,True,470.0,5.828428615010402,5.566493761717611,1678.7380564516582,245.7149891459371
curriculum_variable_gravity,8,experiments/thesis/curriculum_variable_gravity/seed_08,True,510.0,0.18676858425844836,0.7824408487655397,219.0381512627714,-32.76232541185408
curriculum_variable_gravity,9,experiments/thesis/curriculum_variable_gravity/seed_09,True,470.0,1.7809165477617466,3.0412859002458514,1438.176843172122,299.8392995185014
gradual_transition,0,experiments/thesis/gradual_transition/seed_00,True,510.0,2.413939497142843,2.20815496656428,367.0040239891884,53.29384796186419
gradual_transition,1,experiments/thesis/gradual_transition/seed_01,True,490.0,7.390973632451518,4.655844531969071,1577.8987820946074,330.5869339902832
gradual_transition,2,experiments/thesis/gradual_transition/seed_02,True,430.0,10.277665580765895,7.879837725232688,2005.2853951194695,503.4880621259609
gradual_transition,3,experiments/thesis/gradual_transition/seed_03,True,510.0,6.327161544024872,4.81794957666655,1348.2379927697903,218.62809185468453
gradual_transition,4,experiments/thesis/gradual_transition/seed_04,True,480.0,8.036415073092494,4.421154756443709,1679.4886501815895,210.25982632541815
gradual_transition,5,experiments/thesis/gradual_transition/seed_05,True,460.0,8.599613396532423,5.580852032704136,1741.0282195031346,579.6331525876593
gradual_transition,6,experiments/thesis/gradual_transition/seed_06,True,440.0,5.157585032308984,3.4667177845331993,1145.7197581355672,150.02348052310867
gradual_transition,7,experiments/thesis/gradual_transition/seed_07,True,460.0,4.899623834015271,5.1572671338835745,1132.6534106159884,320.39868798700803
gradual_transition,8,experiments/thesis/gradual_transition/seed_08,True,490.0,4.148661763268995,1.9543768624591444,948.9625059170758,81.93865345323398
gradual_transition,9,experiments/thesis/gradual_transition/seed_09,True,510.0,6.9255629783077,5.806826872593735,1517.7927521903516,337.2114496571631
gradual_transition,99,experiments/thesis/gradual_transition/seed_99,True,20.0,-0.07380448269394983,-0.15619699254304947,-337.02737462793294,-358.3914352742218
staged_evolution,0,experiments/thesis/staged_evolution/seed_00,True,510.0,0.9801775706597313,0.9032570016178397,263.00566171011224,72.05241074955957
staged_evolution,1,experiments/thesis/staged_evolution/seed_01,True,510.0,3.1469832100843824,1.3548180078927519,801.4981640791839,168.57676855718063
staged_evolution,2,experiments/thesis/staged_evolution/seed_02,True,400.0,8.212684643064687,6.6399574214815855,1708.3142832959747,521.6631317222009
staged_evolution,3,experiments/thesis/staged_evolution/seed_03,True,510.0,3.285291779061231,1.5169372661717633,803.2763061204334,213.16266305451325
staged_evolution,4,experiments/thesis/staged_evolution/seed_04,True,380.0,9.27439756804625,6.729174133167568,1895.9057731315866,512.1932832186197
staged_evolution,5,experiments/thesis/staged_evolution/seed_05,True,390.0,9.368895944818057,7.619037803048023,1922.1157049374349,632.2820411971393
staged_evolution,6,experiments/thesis/staged_evolution/seed_06,True,510.0,1.8015423780504445,0.8670227343597418,326.65351872479926,-40.163524296786335
staged_evolution,7,experiments/thesis/staged_evolution/seed_07,True,510.0,6.562417073802637,6.121372270830062,1533.8451293323603,285.9521649812776
staged_evolution,8,experiments/thesis/staged_evolution/seed_08,True,510.0,5.6838526642231555,4.543759759317456,1167.1026210696189,263.4716812863403
staged_evolution,9,experiments/thesis/staged_evolution/seed_09,True,510.0,3.8616093274974714,2.3020723613546377,891.8627760229099,263.42125914869007
staged_evolution,99,experiments/thesis/staged_evolution/seed_99,True,20.0,-0.0826341610829933,-0.08457352571163565,-323.5342932855717,-351.64489460304117
multi_environment,99,experiments/thesis/multi_environment/seed_99,True,20.0,-0.13549923552009127,-0.166888893808446,-358.2966118884369,-415.18229677991087
adaptive_progression,0,experiments/thesis/adaptive_progression/seed_00,True,350.0,6.019370221163409,4.613183801614559,1358.5724968197155,426.5178605627471
adaptive_progression,1,experiments/thesis/adaptive_progression/seed_01,True,510.0,2.814582835363504,1.3155874078856784,711.8243079433985,136.9621434848577
adaptive_progression,2,experiments/thesis/adaptive_progression/seed_02,True,330.0,10.626751658300357,7.784417474255028,2127.639397794682,758.380050868907
adaptive_progression,3,experiments/thesis/adaptive_progression/seed_03,True,510.0,3.470372960918412,1.9153022370415171,817.0139659412732,218.06281257611425
adaptive_progression,4,experiments/thesis/adaptive_progression/seed_04,True,510.0,6.827997700118236,2.7138656145928883,1328.5579065757615,245.5359360029756
adaptive_progression,5,experiments/thesis/adaptive_progression/seed_05,True,310.0,7.946006640664225,7.13300008107853,1791.971959400209,667.5874407577579
adaptive_progression,6,experiments/thesis/adaptive_progression/seed_06,True,320.0,5.98556739164971,3.444093067255242,1263.8789943315062,287.20344968456607
adaptive_progression,7,experiments/thesis/adaptive_progression/seed_07,True,510.0,4.323801413950316,3.4287766651582365,942.4278408315758,270.02158944746856
adaptive_progression,8,experiments/thesis/adaptive_progression/seed_08,True,450.0,8.960216197783978,7.126066563345219,1782.2873398505242,464.706005204482
adaptive_progression,9,experiments/thesis/adaptive_progression/seed_09,True,510.0,2.446043303708131,2.0041606386350925,592.7607635866356,158.60046126198185
adaptive_progression,99,experiments/thesis/adaptive_progression/seed_99,True,20.0,-0.12066203322936367,-0.07943853231695804,-214.5644203720984,-297.1599581463045
archive_based,0,experiments/thesis/archive_based/seed_00,True,510.0,2.4626036167610623,1.2719348045523682,694.1030326957937,187.57112719302756
archive_based,1,experiments/thesis/archive_based/seed_01,True,510.0,2.951626607197267,2.1878022915478037,630.2544067455774,128.67326866283537
archive_based,2,experiments/thesis/archive_based/seed_02,True,310.0,10.593942625818247,7.683423684656724,1987.623399584195,742.3729958536321
archive_based,3,experiments/thesis/archive_based/seed_03,True,330.0,6.985334547805907,4.548761887939032,1444.838168031755,370.1695416322918
archive_based,4,experiments/thesis/archive_based/seed_04,True,510.0,6.127132044991879,3.1654287013467703,1299.2476172119964,284.3274421188834
archive_based,5,experiments/thesis/archive_based/seed_05,True,330.0,8.382963679989803,7.777341876055969,1808.8636780402405,710.5563895520285
archive_based,6,experiments/thesis/archive_based/seed_06,True,510.0,2.027851971607543,1.165623554186765,292.4291702050225,-17.592856848058034
archive_based,7,experiments/thesis/archive_based/seed_07,True,370.0,5.299028782096012,4.955377678167155,1054.3315342813594,341.9715486426418
archive_based,8,experiments/thesis/archive_based/seed_08,True,390.0,6.521852629516987,5.4950707847016655,1607.1596735100604,471.2220705261399
archive_based,9,experiments/thesis/archive_based/seed_09,True,400.0,9.015458859451915,7.557281264273049,1837.4098005183744,523.2119117193506
archive_based,99,experiments/thesis/archive_based/seed_99,True,20.0,-0.12066203322936367,-0.07943853231695804,-214.5644203720984,-297.1599581463045
