arm,seed,earth_probe_score,torso_mass_mult,torso_mass_mult_raw,leg_mass_mult,leg_mass_mult_raw,motor_gear_mult,motor_gear_mult_raw,friction_mult,friction_mult_raw
fixed_gravity,0,559.63,1.9911,2.8707,0.5012,-3.1811,0.5008,-3.4051,0.5677,-1.1475
fixed_gravity,1,381.39,1.9998,4.7364,0.5022,-2.8795,0.5267,-1.6229,0.5003,-3.9069
fixed_gravity,2,2435.58,1.9172,1.7297,0.5198,-1.7746,1.9795,2.4465,0.5315,-1.5391
fixed_gravity,3,381.71,1.9949,3.1505,1.7136,1.0378,0.5072,-2.2825,0.559,-1.2182
fixed_gravity,4,454.26,1.6387,0.8924,0.5186,-1.8058,0.5055,-2.4182,0.5023,-2.8578
fixed_gravity,5,445.55,1.9999,4.9369,0.5106,-2.0858,0.5367,-1.4608,0.5219,-1.7234
fixed_gravity,6,587.86,0.5568,-1.2372,1.8182,1.3032,1.9534,2.0285,0.5305,-1.554
fixed_gravity,7,625.4,0.5005,-3.6673,0.5017,-2.9946,0.5,-8.5676,0.9134,-0.1315
fixed_gravity,8,2484.68,0.5047,-2.4923,0.5001,-4.7114,1.9178,1.7333,0.5,-4.9741
fixed_gravity,9,1115.38,0.5094,-2.1472,0.5154,-1.8992,0.7294,-0.4913,0.5138,-1.9543
random_variable_gravity,0,1430.65,1.9997,4.6249,0.5009,-3.2976,0.7912,-0.3516,0.625,-0.8256
random_variable_gravity,1,276.24,1.9965,3.3431,1.9969,3.3936,0.5003,-3.9243,0.5671,-1.1513
random_variable_gravity,2,2280.79,0.606,-0.9129,0.9149,-0.129,1.5064,0.6793,0.8664,-0.2098
random_variable_gravity,3,436.91,1.9936,3.0337,0.5023,-2.8612,0.5163,-1.8706,0.5165,-1.8665
random_variable_gravity,4,288.12,1.5956,0.8182,0.5043,-2.5397,0.5022,-2.8873,0.5145,-1.9304
random_variable_gravity,5,296.19,1.9933,3.0119,0.5029,-2.7363,0.5002,-4.0876,0.5217,-1.728
random_variable_gravity,6,2520.63,1.8685,1.4821,0.5002,-4.097,1.8181,1.3027,0.594,-0.9765
random_variable_gravity,7,1256.71,0.5,-5.8048,0.5396,-1.4223,0.5,-5.229,0.8017,-0.3304
random_variable_gravity,8,993.86,1.9943,3.0907,2.0,7.6982,1.9969,3.3965,1.1717,0.2328
random_variable_gravity,9,298.8,0.975,-0.0365,0.6536,-0.7146,0.5762,-1.086,0.6098,-0.8946
gradual_transition,0,2041.47,0.5101,-2.1099,0.5007,-3.4333,1.0745,0.104,0.5691,-1.1364
gradual_transition,1,2410.33,0.5896,-1.0011,0.5031,-2.7002,1.916,1.7219,0.5028,-2.7621
gradual_transition,2,1893.26,0.5176,-1.8324,0.5006,-3.5378,1.1284,0.176,0.7283,-0.4941
gradual_transition,3,1084.05,0.5095,-2.1437,1.1594,0.2167,1.9602,2.11,0.567,-1.1522
gradual_transition,4,1725.51,0.5143,-1.9385,0.5016,-3.0449,0.9535,-0.0688,0.5567,-1.2387
gradual_transition,5,1792.66,0.5023,-2.8563,0.5013,-3.1411,1.6711,0.9523,0.5859,-1.0232
gradual_transition,6,1724.34,0.5148,-1.9202,0.5004,-3.723,0.7086,-0.5451,0.5164,-1.8692
gradual_transition,7,870.89,1.9989,3.906,0.5006,-3.5681,0.8233,-0.2882,0.502,-2.9268
gradual_transition,8,657.22,1.9852,2.612,0.505,-2.4624,0.502,-2.9242,0.8875,-0.174
gradual_transition,9,457.7,2.0,6.0589,0.5035,-2.6448,0.5014,-3.1065,0.5047,-2.4907
staged_evolution,0,1741.25,1.9989,3.9363,0.5003,-3.8547,1.0988,0.1368,0.6183,-0.8548
staged_evolution,1,2208.95,0.5374,-1.4511,0.5093,-2.1545,1.7575,1.1373,0.5177,-1.8303
staged_evolution,2,3035.21,0.5026,-2.7929,0.5007,-3.4217,1.9107,1.6895,0.5098,-2.1283
staged_evolution,3,924.12,0.6263,-0.8199,0.5077,-2.2475,0.6138,-0.8756,0.5509,-1.2937
staged_evolution,4,1685.64,0.5003,-3.8449,0.5027,-2.7665,1.3959,0.5246,0.5125,-2.006
staged_evolution,5,1590.38,0.5235,-1.686,0.5377,-1.4472,0.9034,-0.1476,0.944,-0.0834
staged_evolution,6,332.83,1.9897,2.7954,0.6133,-0.8777,0.5007,-3.4814,1.4696,0.6262
staged_evolution,7,1776.78,1.9995,4.3575,0.5196,-1.778,1.79,1.2211,0.6951,-0.5827
staged_evolution,8,1169.82,0.5025,-2.816,0.5506,-1.2967,0.5071,-2.2881,0.5126,-1.999
staged_evolution,9,977.17,1.9996,4.4642,0.5097,-2.1341,0.5001,-4.3226,1.0717,0.1003
adaptive_progression,0,1930.77,0.5017,-3.0183,0.5101,-2.1118,0.5526,-1.2766,0.9037,-0.1471
adaptive_progression,1,1640.07,1.9745,2.3366,0.701,-0.5662,1.9124,1.6999,0.6877,-0.6045
adaptive_progression,2,976.3,0.5477,-1.3276,0.5135,-1.9664,0.5391,-1.429,1.177,0.2397
adaptive_progression,3,303.71,1.7353,1.0855,0.6449,-0.7463,0.5189,-1.7976,0.5495,-1.3082
adaptive_progression,4,295.1,1.6404,0.8954,0.5197,-1.7768,0.504,-2.5749,0.6175,-0.8587
adaptive_progression,5,1771.36,0.6316,-0.7981,0.5188,-1.7991,1.504,0.6758,0.6555,-0.7078
adaptive_progression,6,508.75,1.9465,1.957,0.5472,-1.333,0.5004,-3.6706,1.0842,0.1172
adaptive_progression,7,308.59,1.9951,3.1676,0.5154,-1.8986,0.5007,-3.4758,1.0451,0.0638
adaptive_progression,8,1261.06,0.5947,-0.9722,0.5073,-2.2726,0.5835,-1.038,0.6878,-0.6042
adaptive_progression,9,290.49,1.9243,1.7766,0.5361,-1.4694,0.6317,-0.7974,0.9448,-0.0821
archive_based,0,2482.2,0.5006,-3.4998,0.5172,-1.8451,1.8833,1.547,0.6392,-0.768
archive_based,1,2463.21,0.6638,-0.6796,0.5256,-1.6438,1.8957,1.607,0.5496,-1.3075
archive_based,2,1611.49,0.5069,-2.3008,0.5021,-2.9028,0.9265,-0.1106,0.6276,-0.8144
archive_based,3,459.11,1.9995,4.3511,0.5026,-2.7962,0.501,-3.2663,0.5041,-2.5683
archive_based,4,376.77,1.9597,2.1031,0.6189,-0.852,0.5001,-4.7456,0.5543,-1.2606
archive_based,5,1987.52,0.5011,-3.2324,0.5092,-2.1581,1.7981,1.2436,0.5123,-2.012
archive_based,6,1722.7,1.9548,2.0442,0.519,-1.795,1.8625,1.4578,0.6449,-0.7461
archive_based,7,1344.77,2.0,5.838,0.5013,-3.1538,1.5139,0.6905,0.5012,-3.1829
archive_based,8,1795.23,1.9998,4.8685,0.5095,-2.1449,1.9677,2.2167,0.6191,-0.8514
archive_based,9,278.0,1.9243,1.7766,0.5361,-1.4694,0.6317,-0.7974,0.9448,-0.0821
multi_environment,0,2607.96,0.5039,-2.5937,0.5004,-3.6885,1.8798,1.531,0.5023,-2.8518
multi_environment,1,317.21,1.9952,3.1795,0.5068,-2.3134,0.5018,-2.9895,0.5027,-2.7755
multi_environment,2,1896.47,0.5063,-2.3527,0.5002,-4.1523,1.0056,0.0081,0.533,-1.5142
multi_environment,3,401.67,2.0,5.8807,0.5109,-2.0753,0.5097,-2.1329,0.5885,-1.0077
multi_environment,4,1934.21,0.5106,-2.0877,0.5068,-2.3081,0.75,-0.4417,0.5126,-2.0002
multi_environment,5,373.94,1.9976,3.5271,0.5138,-1.9546,0.5,-6.0081,0.5018,-2.9794
multi_environment,6,2883.78,1.287,0.3816,0.5733,-1.1056,1.9877,2.704,0.5034,-2.6644
multi_environment,7,296.92,1.7288,1.0709,1.5543,0.7519,1.5732,0.7817,0.8564,-0.2274
multi_environment,8,1404.95,1.0104,0.0149,0.5054,-2.4231,1.1408,0.1924,0.6988,-0.5724
multi_environment,9,585.62,1.9996,4.416,0.5002,-4.1082,0.5,-5.1791,0.6797,-0.6284
